,title,address
40,Waffle House #1534,"105 US HWY 231 N TROY, AL 36081 US"
41,Waffle House #1535,"2849 ROSS CLARK CIR DOTHAN, AL 36301 US"
42,Waffle House #1546,"1530 QUINTARD AVE ANNISTON, AL 36201 US"
43,Waffle House #1560,"670 MAGNOLIA STREET LINCOLN, AL 35096 US"
44,Waffle House #1564,"637 BOLL WEEVIL CIR ENTERPRISE, AL 36330 US"
45,Waffle House #1582,"9225 BOYD COOPER MONTGOMERY, AL 36117 US"
46,Waffle House #159,"948 FORT DALE RD GREENVILLE, AL 36037 US"
47,Waffle House #1593,"3262 B DAUPHIN ST MOBILE, AL 36606 US"
48,Waffle House #1606,"500 PELHAM RD NORTH JACKSONVILLE, AL 36265 US"
49,Waffle House #1613,"4091 WEST MAIN ST DOTHAN, AL 36305 US"
50,Waffle House #1646,"2346 BENT CREEK RD AUBURN, AL 36830 US"
51,Waffle House #1693,"394 VIRGINIA AVE DALEVILLE, AL 36322 US"
52,Waffle House #1703,"75 MEIGHAN BLVD GADSDEN, AL 35903 US"
53,Waffle House #1714,"5610 OLD SHELL RD MOBILE, AL 36608 US"
54,Waffle House #1739,"21852 HIGHWAY 59 ROBERTSDALE, AL 36567 US"
55,Waffle House #1744,"119 BIG VALLEY DR ALEXANDRIA, AL 36250 US"
56,Waffle House #1754,"3898 HIGHWAY 80 WEST PHENIX CITY, AL 36867 US"
57,Waffle House #1778,"1269 HILLCREST RD MOBILE, AL 36695 US"
58,Waffle House #178,"3651 AIRPORT BLVD MOBILE, AL 36608 US"
59,Waffle House #1782,"5011 COTTAGE HILL RD MOBILE, AL 36609 US"
60,Waffle House #1790,"2070 WEST MAIN ST CENTRE, AL 35960 US"
61,Waffle House #1805,"1024 HWY 59 SOUTH SUMMERDALE, AL 36580 US"
62,Waffle House #1806,"101 SPRINGVILLE SPRINGVILLE, AL 35146 US"
63,Waffle House #1825,"5087 HIGHWAY 31 CALERA, AL 35040 US"
64,Waffle House #1834,"8354 I 10 SERVICE RD IRVINGTON, AL 36544 US"
65,Waffle House #1838,"811 US HWY 43 SOUTH SARALAND, AL 36571 US"
66,Waffle House #1843,"4688 PINSON BLVD. PINSON, AL 35126 US"
67,Waffle House #1851,"12615 FOLEY BEACH FOLEY, AL 36535 US"
68,Waffle House #1866,"2064 INTERSTATE DR OPELIKA, AL 36801 US"
69,Waffle House #1869,"13035 N WINTZELL AVE BAYOU LA BATRE, AL 36509 US"
70,Waffle House #1882,"110 WEST GLENN AVE AUBURN, AL 36830 US"
