,id,state_name,state_ab,county,city,zip_code,census_lat,census_lon,mean,median,stdev,sum_w
8648,1702349,Illinois,IL,Adams County,Chicago,60634,41.9500779,-87.8288957,75500,72648,47707,968.2784836
8649,17023499,Illinois,IL,Adams County,Morrisonville,62546,39.44037,-89.3885586,39675,300000,23156,230.7973185
8650,17023509,Illinois,IL,Adams County,Marshall,62441,39.3399603,-87.6985863,53705,48768,33492,209.2267343
8651,17023519,Illinois,IL,Adams County,Martinsville,62442,39.3144929,-87.9294383,58283,39356,53526,135.9303301
8652,17023529,Illinois,IL,Adams County,Flora,62839,38.6707734,-88.4758678,48064,43929,25443,527.0855531
8653,17023539,Illinois,IL,Adams County,Breese,62230,38.7043931,-89.4878849,84646,75530,55508,207.1888886
8654,17023549,Illinois,IL,Adams County,Carlyle,62231,38.6923212,-89.311544,66206,61079,43232,245.1858054
8655,17023559,Illinois,IL,Adams County,Germantown,62245,38.5320127,-89.5153928,71655,57699,49802,281.5554548
8656,170211959,Illinois,IL,Adams County,Hoyleton,62803,38.4281344,-89.2939332,77761,60173,53921,130.9268133
8657,17023579,Illinois,IL,Adams County,Mattoon,61938,39.4990127,-88.3151454,25551,16172,28603,444.1173398
8658,17023589,Illinois,IL,Adams County,Charleston,61920,39.4700387,-88.0932166,74154,75693,45162,171.2913458
8659,17023599,Illinois,IL,Adams County,Charleston,61920,39.4771763,-88.1760261,29484,13588,40758,75.49398885
8660,17023609,Illinois,IL,Adams County,Mattoon,61938,39.4675762,-88.3746439,49201,36562,39069,277.1574926
8661,17023619,Illinois,IL,Adams County,Chicago,60626,42.0160077,-87.6801484,57338,42875,49435,389.9491645
8662,17023629,Illinois,IL,Adams County,Chicago,60626,42.0064109,-87.6588157,47754,51499,27633,263.1825628
8663,17023639,Illinois,IL,Adams County,Chicago,60626,42.0062774,-87.667683,116118,74545,90894,86.18725099
8664,17023649,Illinois,IL,Adams County,Chicago,60645,42.015721,-87.6871169,50542,33813,54595,412.853378
8665,17023659,Illinois,IL,Adams County,Chicago,60645,42.0085406,-87.6949634,77532,61086,64622,602.8702395
8666,17023669,Illinois,IL,Adams County,Chicago,60645,42.0008746,-87.7018025,69070,44179,57595,228.7268973
8667,17023679,Illinois,IL,Adams County,Chicago,60659,41.9941256,-87.7048939,70606,63211,50478,102.2941551
